City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Grand-Lahou,CI,75.61,clear sky,5.14,-5.02,Hotel Beatitude de Grand Lahou
9,Saint-Philippe,RE,71.6,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
11,Atuona,PF,78.4,few clouds,-9.8,-139.03,Villa Enata
18,Georgetown,MY,78.8,light rain,5.41,100.34,Cititel Penang
28,Payo,ID,72.86,overcast clouds,-3.75,103.64,Mess keban agung
38,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
41,Kununurra,AU,78.8,few clouds,-15.77,128.73,Hotel Kununurra
43,Meulaboh,ID,76.87,overcast clouds,4.14,96.13,Kost Pria
44,Ouesso,CG,71.78,light rain,1.61,16.05,Hôtel ABENI
51,Dingle,PH,76.44,light rain,11.0,122.67,Camp Pasica
55,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
56,Rikitea,PF,73.2,clear sky,-23.12,-134.97,Pension Maro'i
66,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
73,Kukshi,IN,77.32,overcast clouds,22.2,74.75,City Pride Hotel
76,Katsina,NG,76.68,broken clouds,12.99,7.6,Katsina Motel
84,Portland,US,79.0,smoke,45.52,-122.68,Portland Marriott City Center
86,Tianpeng,CN,72.0,light rain,30.99,103.94,Shuangliu Love Home Business Hotel
89,Sambava,MG,73.89,broken clouds,-14.27,50.17,Melrose
95,Soyo,AO,76.21,overcast clouds,-6.13,12.37,Hotel Mpampa
110,Bhatkal,IN,78.15,light rain,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
116,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
120,Moerai,PF,75.76,overcast clouds,-22.43,-151.33,Le Manotel
122,Mahbubabad,IN,75.96,overcast clouds,17.62,80.02,Vedansh Residency
128,Sorong,ID,78.33,overcast clouds,-0.88,131.25,The Waigo Hotel
131,Atambua,ID,71.83,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
136,Sonepur,IN,75.69,moderate rain,20.83,83.92,Circuit House
138,Faanui,PF,78.57,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Wajir,KE,76.35,few clouds,1.75,40.06,Al- Amin lodge
142,Pangkalanbuun,ID,73.11,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
147,Kudahuvadhoo,MV,79.29,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
150,Maragogi,BR,75.42,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
154,Manokwari,ID,79.99,light rain,-0.87,134.08,Swiss Belhotel Manokwari
156,Palamedu,IN,75.97,overcast clouds,10.12,78.12,VISHNU HOME
157,Hirara,JP,73.4,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
170,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
171,Dosso,NE,79.41,overcast clouds,13.05,3.19,Hotel Toubal
174,Oyama,JP,71.01,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
182,Zamora,EC,72.82,light rain,-4.07,-78.96,Cabañas Ecológica Copalinga
184,Along,IN,70.7,light rain,28.17,94.77,Hotel West
185,Pemangkat,ID,78.06,moderate rain,1.17,108.97,Kost H.Syamsuddin
186,Bowen,AU,73.4,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
187,Sumbe,AO,71.82,broken clouds,-11.21,13.84,Hotel Ritz Sumbe
188,Shakawe,BW,76.44,clear sky,-18.37,21.85,Ditlhapi Guest House
191,Ambulu,ID,74.41,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
196,Mersing,MY,77.0,light rain,2.43,103.84,Timotel Hotel
197,Jawhar,SO,75.78,overcast clouds,2.78,45.5,cosoble spare parts
201,Isangel,VU,77.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
203,Champerico,GT,75.2,light intensity drizzle,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
207,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
209,Takoradi,GH,76.3,broken clouds,4.88,-1.76,Raybow International Hotel
211,Davila,PH,77.0,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
213,Avera,US,71.6,clear sky,33.19,-82.53,
220,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
221,Karwar,IN,77.5,moderate rain,14.8,74.13,Netalco Connects
222,Popondetta,PG,79.32,overcast clouds,-8.75,148.25,Timos Transit House
223,Carnot,CF,70.61,light rain,4.94,15.87,
225,Praia,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
226,Bengkulu,ID,76.39,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
235,Acarau,BR,78.73,overcast clouds,-2.89,-40.12,castelo pizzaria
236,Mahibadhoo,MV,77.81,light rain,3.78,72.97,Omadhoo Inn
242,Cabinda,AO,76.53,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
251,Keta,GH,78.8,few clouds,5.92,0.99,Keta Lagoon Resort
253,Guarapari,BR,78.01,clear sky,-20.67,-40.5,Hotel Porto do Sol
254,Kalmunai,LK,79.3,overcast clouds,7.42,81.82,VS Villa
256,Mangai,CD,74.35,scattered clouds,-4.05,19.53,
257,Palembang,ID,73.74,overcast clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
258,Rumonge,BI,76.59,clear sky,-3.97,29.44,Iratiro Tours
260,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
261,Sakakah,SA,78.8,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
263,Saint-Pierre,RE,71.6,overcast clouds,-21.34,55.48,Lindsey Hôtel
270,Bonthe,SL,77.79,moderate rain,7.53,-12.51,Bonthe Holiday Village
271,Bandarbeyla,SO,78.85,light rain,9.49,50.81,REER XOOSHLE GROUP
272,Ambilobe,MG,70.21,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
275,Nishihara,JP,78.8,scattered clouds,26.18,127.76,Minshuku Agaihama
279,Luwuk,ID,77.63,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
281,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
282,Teknaf,BD,79.05,overcast clouds,20.86,92.31,Magnum Engineering & Construction
284,Centralia,US,71.01,clear sky,46.72,-122.95,Peppermill Inn
293,Caravelas,BR,74.98,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
296,Abonnema,NG,76.44,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
300,Kisangani,CD,70.12,light rain,0.52,25.2,Grand Ramela Hotel
303,Hambantota,LK,77.0,few clouds,6.12,81.12,Bungalow 63
306,Bossangoa,CF,72.77,few clouds,6.49,17.46,LA PERLE DE BOSTON
312,Tabuk,PH,72.55,few clouds,17.42,121.44,Grand Zion Garden Resort Hotel
314,Camopi,GF,75.2,light rain,3.17,-52.32,
315,Pachino,IT,78.8,overcast clouds,36.72,15.09,Il Veliero
323,Starkville,US,71.6,clear sky,33.45,-88.82,Hilton Garden Inn Starkville
330,Mangrol,IN,79.97,clear sky,21.12,70.12,Hotel The Royal Honours
331,Matara,LK,78.57,light rain,5.95,80.54,Amaloh Boutique Resort
333,Botro,CI,75.2,clear sky,7.85,-5.31,Motel de la Station BOTRO
334,Kalakamati,BW,77.07,broken clouds,-20.59,27.31,
337,Cardston,CA,77.0,scattered clouds,49.2,-113.3,Flamingo Motel
341,Epe,NG,75.61,overcast clouds,6.58,3.98,MAGVILLE HOTEL
343,Balad,IQ,78.67,clear sky,34.02,44.15,رضاوي زنوبة
348,Tura,IN,73.49,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
352,Duncan,US,77.0,clear sky,34.5,-97.96,Days Inn by Wyndham Duncan
354,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
356,Sapouy,BF,76.01,broken clouds,11.55,-1.77,Auberge St Louis
360,Nara,JP,71.01,broken clouds,34.69,135.8,Guesthouse Nara Komachi
