,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.19,168.86,61.0,52,100,11.99,moderate rain
1,Sitka,US,57.05,-135.33,53.6,87,75,6.51,broken clouds
2,Atuona,PF,-9.8,-139.03,78.69,76,4,21.88,clear sky
3,Victoria,HK,22.29,114.16,84.0,74,23,3.0,few clouds
4,Ankpa,NG,7.37,7.63,71.44,96,100,6.58,overcast clouds
5,Yakeshi,CN,49.28,120.73,45.5,81,100,9.89,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,32.0,90,40,19.46,light snow
7,Turbat,PK,26.0,63.04,98.76,9,0,9.55,clear sky
8,Mahebourg,MU,-20.41,57.7,71.6,83,20,3.36,few clouds
9,Pangnirtung,CA,66.15,-65.71,23.9,85,24,6.22,few clouds
10,Itoman,JP,26.12,127.67,87.8,52,75,16.11,broken clouds
11,Busselton,AU,-33.65,115.33,63.0,40,29,17.07,scattered clouds
12,Obidos,BR,-1.92,-55.52,80.26,60,93,2.55,overcast clouds
13,Ramygala,LT,55.52,24.3,48.2,87,55,9.17,broken clouds
14,Jacqueville,CI,5.21,-4.41,77.0,94,40,8.05,scattered clouds
15,Rikitea,PF,-23.12,-134.97,72.99,78,6,18.77,clear sky
16,Nemuro,JP,43.32,145.57,62.6,77,75,10.29,broken clouds
17,Sibolga,ID,1.74,98.78,75.33,91,100,4.21,overcast clouds
18,Cidreira,BR,-30.18,-50.21,65.97,91,65,13.62,broken clouds
19,Vaini,TO,-21.2,-175.2,77.0,83,75,12.75,broken clouds
20,Upata,VE,8.01,-62.4,71.04,98,75,3.91,broken clouds
21,Necochea,AR,-38.55,-58.74,46.0,74,1,8.01,clear sky
22,Butaritari,KI,3.07,172.79,81.36,72,0,14.76,clear sky
23,Kropotkin,RU,45.44,40.58,59.85,65,100,13.04,light rain
24,Souillac,MU,-20.52,57.52,71.6,83,20,3.36,few clouds
25,Sambava,MG,-14.27,50.17,76.01,76,12,7.74,few clouds
26,Bluff,NZ,-46.6,168.33,61.0,52,100,11.99,light rain
27,Varna,BG,43.22,27.92,52.0,87,0,3.74,clear sky
28,Anadyr,RU,64.75,177.48,41.0,65,100,6.71,overcast clouds
29,Kaitangata,NZ,-46.28,169.85,54.0,71,93,1.99,light rain
30,Zhangjiakou,CN,40.81,114.88,57.04,32,0,14.65,clear sky
31,Saint-Augustin,CA,51.23,-58.65,50.54,92,20,8.32,few clouds
32,Taoudenni,ML,22.68,-3.98,89.26,12,0,5.44,clear sky
33,Hobart,AU,-42.88,147.33,69.01,34,40,24.16,scattered clouds
34,Iznik,TR,40.43,29.72,44.6,93,36,3.47,scattered clouds
35,Albany,US,42.6,-73.97,54.0,66,28,2.42,scattered clouds
36,Dikson,RU,73.51,80.55,34.23,86,100,18.79,overcast clouds
37,Kavieng,PG,-2.57,150.8,82.22,77,100,11.32,light rain
38,Lata,PT,40.16,-8.33,64.0,94,100,14.0,overcast clouds
39,Bethel,US,41.37,-73.41,59.0,87,90,3.11,overcast clouds
40,Hermanus,ZA,-34.42,19.23,54.0,83,77,4.0,light rain
41,Oranjemund,NA,-28.55,16.43,53.85,84,1,12.68,clear sky
42,Macheng,CN,31.18,115.03,71.67,81,100,1.66,overcast clouds
43,Srednekolymsk,RU,67.45,153.68,41.49,62,98,10.2,overcast clouds
