City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Valdivia,CL,2020-09-28 02:58:01,-39.81,-73.25,46.4,100,90,2.24
1,Busselton,AU,2020-09-28 03:01:54,-33.65,115.33,62.01,77,69,1.99
2,Hithadhoo,MV,2020-09-28 03:01:54,-0.6,73.08,83.05,67,100,5.57
3,East London,ZA,2020-09-28 03:01:55,-33.02,27.91,54.0,65,1,4.43
4,Thunder Bay,CA,2020-09-28 03:00:49,48.4,-89.32,54.0,87,75,6.93
5,Punta Arenas,CL,2020-09-28 03:01:56,-53.15,-70.92,46.0,70,40,31.09
6,Ponta Do Sol,PT,2020-09-28 03:01:56,32.67,-17.1,71.6,64,40,9.17
7,Rawson,AR,2020-09-28 03:01:57,-43.3,-65.1,51.8,46,0,11.83
8,Dingle,PH,2020-09-28 03:01:57,11.0,122.67,86.76,69,27,4.68
9,New Norfolk,AU,2020-09-28 03:01:58,-42.78,147.06,57.2,58,40,13.87
10,Montepuez,MZ,2020-09-28 03:01:58,-13.13,39.0,70.63,76,100,7.83
11,Bredasdorp,ZA,2020-09-28 03:01:58,-34.53,20.04,44.6,87,0,4.7
12,Ati,TD,2020-09-28 03:01:59,13.22,18.34,78.55,71,100,12.12
13,Bluff,NZ,2020-09-28 03:02:00,-46.6,168.33,37.99,82,95,8.01
14,Iqaluit,CA,2020-09-28 02:58:45,63.75,-68.51,26.6,73,5,5.82
15,Kapaa,US,2020-09-28 03:02:00,22.08,-159.32,84.2,66,40,11.41
16,Rikitea,PF,2020-09-28 03:02:01,-23.12,-134.97,74.57,78,0,10.45
17,Hovd,MN,2020-09-28 03:02:01,48.01,91.64,41.95,62,30,2.37
18,Teguldet,RU,2020-09-28 03:02:02,57.31,88.17,43.2,78,0,6.06
19,Lillesand,NO,2020-09-28 03:02:02,58.25,8.38,55.99,82,97,12.75
20,Yellowknife,CA,2020-09-28 03:00:48,62.46,-114.35,44.6,87,75,10.29
21,Dikson,RU,2020-09-28 03:02:03,73.51,80.55,36.55,80,100,27.85
22,Albany,US,2020-09-28 02:58:37,42.6,-73.97,72.0,96,10,5.01
23,Swellendam,ZA,2020-09-28 03:02:04,-34.02,20.44,44.6,87,0,4.7
